id,title,city,neighborhood,price,surface_m2,rooms,type,listing_date
1,Appartement moderne Casablanca,Casablanca,Maarif,1200000,85,3,Appartement,2024-01-15
2,Villa avec piscine Marrakech,Marrakech,Palmeraie,4500000,320,6,Villa,2024-01-20
3,Studio Rabat centre,Rabat,Agdal,450000,35,1,Studio,2024-02-01
4,Appartement Tanger,Tanger,Malabata,,110,4,Appartement,2024-02-10
5,Riad traditionnel Fes,Fes,Medina,2200000,200,5,Riad,2024-02-14
6,Villa Agadir,Agadir,Tilila,1800000,0,4,Villa,2024-03-01
7,Appartement Casablanca,Casablanca,Bourgogne,950000,75,3,Appartement,2024-03-05
8,Studio Marrakech,Marrakech,Gueliz,380000,32,1,Studio,2024-03-10
9,Appartement Rabat,Rabat,Hay Riad,780000,90,3,Appartement,2024-03-12
10,Penthouse Casablanca,Casablanca,Anfa,TROIS MILLIONS,150,5,Penthouse,2024-03-15
